id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
N;NORTE;2012-01-01;3729.53958333
NE;NORDESTE;2012-01-01;7116.68183333
S;SUL;2012-01-01;6660.09029167
SE;SUDESTE;2012-01-01;26298.96
N;NORTE;2012-01-02;4023.28166667
NE;NORDESTE;2012-01-02;8437.93158333
S;SUL;2012-01-02;8591.104625
SE;SUDESTE;2012-01-02;31306.4825
N;NORTE;2012-01-03;4089.71208333
NE;NORDESTE;2012-01-03;8826.91108333
S;SUL;2012-01-03;9636.30966667
SE;SUDESTE;2012-01-03;33947.66333333
N;NORTE;2012-01-04;4089.7125
NE;NORDESTE;2012-01-04;8906.25391667
S;SUL;2012-01-04;10106.2445
SE;SUDESTE;2012-01-04;35303.78791667
N;NORTE;2012-01-05;4024.81625
NE;NORDESTE;2012-01-05;8879.43429167
S;SUL;2012-01-05;10181.15195833
SE;SUDESTE;2012-01-05;35954.92916667
N;NORTE;2012-01-06;4032.07625
NE;NORDESTE;2012-01-06;8879.63970833
S;SUL;2012-01-06;10381.13416667
SE;SUDESTE;2012-01-06;36275.38041667
N;NORTE;2012-01-07;3963.04333333
NE;NORDESTE;2012-01-07;8484.89529167
S;SUL;2012-01-07;9475.47595833
SE;SUDESTE;2012-01-07;33284.47166667
N;NORTE;2012-01-08;3855.47916667
NE;NORDESTE;2012-01-08;7786.58204167
S;SUL;2012-01-08;8367.56116667
SE;SUDESTE;2012-01-08;29986.23291667
N;NORTE;2012-01-09;4069.61333333
NE;NORDESTE;2012-01-09;8839.14070833
S;SUL;2012-01-09;10753.53045833
SE;SUDESTE;2012-01-09;35385.52
N;NORTE;2012-01-10;4058.49541667
NE;NORDESTE;2012-01-10;8988.19625
S;SUL;2012-01-10;11137.03329167
SE;SUDESTE;2012-01-10;36142.26291667
N;NORTE;2012-01-11;4062.50208333
NE;NORDESTE;2012-01-11;8968.19204167
S;SUL;2012-01-11;11258.12454167
SE;SUDESTE;2012-01-11;36120.76666667
N;NORTE;2012-01-12;4054.13916667
NE;NORDESTE;2012-01-12;8994.39454167
S;SUL;2012-01-12;11313.59875
SE;SUDESTE;2012-01-12;36439.06541667
N;NORTE;2012-01-13;4117.22625
NE;NORDESTE;2012-01-13;9096.2565
S;SUL;2012-01-13;10864.32875
SE;SUDESTE;2012-01-13;36901.0975
N;NORTE;2012-01-14;3962.17416667
NE;NORDESTE;2012-01-14;8598.049625
S;SUL;2012-01-14;9089.76825
SE;SUDESTE;2012-01-14;34262.46166667
N;NORTE;2012-01-15;3868.335
NE;NORDESTE;2012-01-15;7797.94504167
S;SUL;2012-01-15;7753.13033333
SE;SUDESTE;2012-01-15;31252.79875
N;NORTE;2012-01-16;3939.35666667
NE;NORDESTE;2012-01-16;8833.714625
S;SUL;2012-01-16;10256.922625
SE;SUDESTE;2012-01-16;36730.42333333
N;NORTE;2012-01-17;4008.81333333
NE;NORDESTE;2012-01-17;9129.32766667
S;SUL;2012-01-17;10958.07745833
SE;SUDESTE;2012-01-17;37741.98083333
N;NORTE;2012-01-18;4024.97
NE;NORDESTE;2012-01-18;9074.87641667
S;SUL;2012-01-18;11140.6905
SE;SUDESTE;2012-01-18;37751.58208333
N;NORTE;2012-01-19;3995.66333333
NE;NORDESTE;2012-01-19;8941.76925
S;SUL;2012-01-19;11176.65566667
SE;SUDESTE;2012-01-19;37877.36833333
N;NORTE;2012-01-20;4035.41
NE;NORDESTE;2012-01-20;8791.492
S;SUL;2012-01-20;11359.703375
SE;SUDESTE;2012-01-20;37095.54
N;NORTE;2012-01-21;3959.87166667
NE;NORDESTE;2012-01-21;8357.50745833
S;SUL;2012-01-21;9913.41054167
SE;SUDESTE;2012-01-21;34715.25208333
N;NORTE;2012-01-22;3724.21625
NE;NORDESTE;2012-01-22;7539.23408333
S;SUL;2012-01-22;8561.55858333
SE;SUDESTE;2012-01-22;31105.54958333
N;NORTE;2012-01-23;3952.8
NE;NORDESTE;2012-01-23;8470.75441667
S;SUL;2012-01-23;11428.915875
SE;SUDESTE;2012-01-23;37638.42333333
N;NORTE;2012-01-24;4040.87708333
NE;NORDESTE;2012-01-24;8701.92216667
S;SUL;2012-01-24;11829.323
SE;SUDESTE;2012-01-24;38744.54291667
N;NORTE;2012-01-25;4110.04375
NE;NORDESTE;2012-01-25;8791.12666667
S;SUL;2012-01-25;11409.46720833
SE;SUDESTE;2012-01-25;38576.23458333
N;NORTE;2012-01-26;4139.98625
NE;NORDESTE;2012-01-26;8806.72733333
S;SUL;2012-01-26;10829.92829167
SE;SUDESTE;2012-01-26;38973.21541667
N;NORTE;2012-01-27;4165.66833333
NE;NORDESTE;2012-01-27;8838.9165
S;SUL;2012-01-27;10575.68283333
SE;SUDESTE;2012-01-27;37709.26041667
N;NORTE;2012-01-28;4004.57833333
NE;NORDESTE;2012-01-28;8441.07079167
S;SUL;2012-01-28;9323.766375
SE;SUDESTE;2012-01-28;33767.04666667
N;NORTE;2012-01-29;3766.55291667
NE;NORDESTE;2012-01-29;7733.731375
S;SUL;2012-01-29;8187.373875
SE;SUDESTE;2012-01-29;30210.965
N;NORTE;2012-01-30;4106.89625
NE;NORDESTE;2012-01-30;8802.98020833
S;SUL;2012-01-30;11074.953625
SE;SUDESTE;2012-01-30;36084.36125
N;NORTE;2012-01-31;4165.25166667
NE;NORDESTE;2012-01-31;9020.26266667
S;SUL;2012-01-31;11718.27991667
SE;SUDESTE;2012-01-31;37409.44625
N;NORTE;2012-02-01;4186.22791667
NE;NORDESTE;2012-02-01;8968.80966667
S;SUL;2012-02-01;11894.39225
SE;SUDESTE;2012-02-01;38076.66666667
N;NORTE;2012-02-02;4202.78583333
NE;NORDESTE;2012-02-02;8881.67129167
S;SUL;2012-02-02;11823.89654167
SE;SUDESTE;2012-02-02;38777.41375
N;NORTE;2012-02-03;4258.07166667
NE;NORDESTE;2012-02-03;8914.93016667
S;SUL;2012-02-03;12046.937
SE;SUDESTE;2012-02-03;39538.265
N;NORTE;2012-02-04;4082.98333333
NE;NORDESTE;2012-02-04;8456.59820833
S;SUL;2012-02-04;10379.6495
SE;SUDESTE;2012-02-04;36145.04541667
N;NORTE;2012-02-05;3888.08583333
NE;NORDESTE;2012-02-05;7796.72379167
S;SUL;2012-02-05;8939.7665
SE;SUDESTE;2012-02-05;32802.81
N;NORTE;2012-02-06;4230.61458333
NE;NORDESTE;2012-02-06;8919.19225
S;SUL;2012-02-06;11690.74295833
SE;SUDESTE;2012-02-06;39860.48833333
N;NORTE;2012-02-07;4209.00208333
NE;NORDESTE;2012-02-07;9209.37208333
S;SUL;2012-02-07;12015.20858333
SE;SUDESTE;2012-02-07;41163.11791667
N;NORTE;2012-02-08;4198.79333333
NE;NORDESTE;2012-02-08;9186.38016667
S;SUL;2012-02-08;12101.31283333
SE;SUDESTE;2012-02-08;41547.70333333
N;NORTE;2012-02-09;4159.99
NE;NORDESTE;2012-02-09;9314.75508333
S;SUL;2012-02-09;11940.00545833
SE;SUDESTE;2012-02-09;41489.58125
N;NORTE;2012-02-10;4216.21333333
NE;NORDESTE;2012-02-10;9266.55483333
S;SUL;2012-02-10;11446.66004167
SE;SUDESTE;2012-02-10;41206.49875
N;NORTE;2012-02-11;4058.00708333
NE;NORDESTE;2012-02-11;8646.51254167
S;SUL;2012-02-11;9743.356625
SE;SUDESTE;2012-02-11;36906.31541667
N;NORTE;2012-02-12;3940.26916667
NE;NORDESTE;2012-02-12;7822.21570833
S;SUL;2012-02-12;8434.88475
SE;SUDESTE;2012-02-12;32463.17541667
N;NORTE;2012-02-13;4091.26208333
NE;NORDESTE;2012-02-13;8863.43454167
S;SUL;2012-02-13;11240.24191667
SE;SUDESTE;2012-02-13;38350.18791667
N;NORTE;2012-02-14;4073.75458333
NE;NORDESTE;2012-02-14;9028.622875
S;SUL;2012-02-14;11767.22883333
SE;SUDESTE;2012-02-14;39023.67208333
N;NORTE;2012-02-15;3990.54041667
NE;NORDESTE;2012-02-15;8975.45845833
S;SUL;2012-02-15;11984.026625
SE;SUDESTE;2012-02-15;39113.51
N;NORTE;2012-02-16;3990.32041667
NE;NORDESTE;2012-02-16;8814.18929167
S;SUL;2012-02-16;12254.139125
SE;SUDESTE;2012-02-16;39100.98333333
N;NORTE;2012-02-17;4017.27458333
NE;NORDESTE;2012-02-17;8607.70066667
S;SUL;2012-02-17;12215.08929167
SE;SUDESTE;2012-02-17;38947.88875
N;NORTE;2012-02-18;3867.63833333
NE;NORDESTE;2012-02-18;8000.52058333
S;SUL;2012-02-18;10411.08925
SE;SUDESTE;2012-02-18;34802.70125
N;NORTE;2012-02-19;3808.3325
NE;NORDESTE;2012-02-19;7180.175875
S;SUL;2012-02-19;9011.934
SE;SUDESTE;2012-02-19;31323.79291667
N;NORTE;2012-02-20;3863.63625
NE;NORDESTE;2012-02-20;7145.5495
S;SUL;2012-02-20;10348.53291667
SE;SUDESTE;2012-02-20;33453.61791667
N;NORTE;2012-02-21;3782.66833333
NE;NORDESTE;2012-02-21;7275.06679167
S;SUL;2012-02-21;10124.02495833
SE;SUDESTE;2012-02-21;33160.595
N;NORTE;2012-02-22;4021.30125
NE;NORDESTE;2012-02-22;7957.13879167
S;SUL;2012-02-22;11092.34175
SE;SUDESTE;2012-02-22;37264.67333333
N;NORTE;2012-02-23;4147.58708333
NE;NORDESTE;2012-02-23;8754.17108333
S;SUL;2012-02-23;11610.445
SE;SUDESTE;2012-02-23;39850.66916667
N;NORTE;2012-02-24;4154.3025
NE;NORDESTE;2012-02-24;8827.62316667
S;SUL;2012-02-24;11686.59345833
SE;SUDESTE;2012-02-24;39960.85333333
N;NORTE;2012-02-25;3980.03791667
NE;NORDESTE;2012-02-25;8339.82608333
S;SUL;2012-02-25;9945.480375
SE;SUDESTE;2012-02-25;36719.245
N;NORTE;2012-02-26;3891.10208333
NE;NORDESTE;2012-02-26;7722.741
S;SUL;2012-02-26;8445.36808333
SE;SUDESTE;2012-02-26;33345.18458333
N;NORTE;2012-02-27;4224.70208333
NE;NORDESTE;2012-02-27;8764.51395833
S;SUL;2012-02-27;11222.33504167
SE;SUDESTE;2012-02-27;40078.04333333
N;NORTE;2012-02-28;4284.42791667
NE;NORDESTE;2012-02-28;8990.399125
S;SUL;2012-02-28;11449.329
SE;SUDESTE;2012-02-28;41199.79208333
N;NORTE;2012-02-29;4283.12833333
NE;NORDESTE;2012-02-29;9071.87116667
